RUNID,LIVESTOCK,MASK,COUNTRY
001,Bf,1012,Bangladesh
002,Bf,1013,Brazil
003,Bf,1014,China
004,Bf,1018,India
005,Bf,1019,Indonesia
006,Bf,1020,Iran
007,Bf,1021,Italy
008,Bf,1023,Myanmar
009,Bf,1025,Pakistan
010,Bf,1028,Turkey
011,Bf,1031,Vietnam
012,Ch,1012,Bangladesh
013,Ch,1013,Brazil
014,Ch,1014,China
015,Ch,1015,Ethiopia
016,Ch,1016,France
017,Ch,1017,Germany
018,Ch,1018,India
019,Ch,1019,Indonesia
020,Ch,1020,Iran
021,Ch,1021,Italy
022,Ch,1022,Mexico
023,Ch,1023,Myanmar
024,Ch,1024,Netherlands
025,Ch,1025,Pakistan
026,Ch,1026,SouthAfrica
027,Ch,1027,Spain
028,Ch,1028,Turkey
029,Ch,1029,UK
030,Ch,1030,USA
031,Ch,1031,Vietnam
032,Ct,1012,Bangladesh
033,Ct,1013,Brazil
034,Ct,1014,China
035,Ct,1015,Ethiopia
036,Ct,1016,France
037,Ct,1017,Germany
038,Ct,1018,India
039,Ct,1019,Indonesia
040,Ct,1020,Iran
041,Ct,1021,Italy
042,Ct,1022,Mexico
043,Ct,1023,Myanmar
044,Ct,1024,Netherlands
045,Ct,1025,Pakistan
046,Ct,1026,SouthAfrica
047,Ct,1027,Spain
048,Ct,1028,Turkey
049,Ct,1029,UK
050,Ct,1030,USA
051,Ct,1031,Vietnam
052,Dk,1012,Bangladesh
053,Dk,1013,Brazil
054,Dk,1014,China
055,Dk,1016,France
056,Dk,1017,Germany
057,Dk,1018,India
058,Dk,1019,Indonesia
059,Dk,1020,Iran
060,Dk,1021,Italy
061,Dk,1022,Mexico
062,Dk,1023,Myanmar
063,Dk,1024,Netherlands
064,Dk,1025,Pakistan
065,Dk,1026,SouthAfrica
066,Dk,1027,Spain
067,Dk,1028,Turkey
068,Dk,1029,UK
069,Dk,1030,USA
070,Dk,1031,Vietnam
071,Gt,1012,Bangladesh
072,Gt,1013,Brazil
073,Gt,1014,China
074,Gt,1015,Ethiopia
075,Gt,1016,France
076,Gt,1017,Germany
077,Gt,1018,India
078,Gt,1019,Indonesia
079,Gt,1020,Iran
080,Gt,1021,Italy
081,Gt,1022,Mexico
082,Gt,1023,Myanmar
083,Gt,1024,Netherlands
084,Gt,1025,Pakistan
085,Gt,1026,SouthAfrica
086,Gt,1027,Spain
087,Gt,1028,Turkey
088,Gt,1029,UK
089,Gt,1030,USA
090,Gt,1031,Vietnam
091,Ho,1013,Brazil
092,Ho,1014,China
093,Ho,1015,Ethiopia
094,Ho,1016,France
095,Ho,1017,Germany
096,Ho,1018,India
097,Ho,1019,Indonesia
098,Ho,1020,Iran
099,Ho,1021,Italy
100,Ho,1022,Mexico
101,Ho,1023,Myanmar
102,Ho,1024,Netherlands
103,Ho,1025,Pakistan
104,Ho,1026,SouthAfrica
105,Ho,1027,Spain
106,Ho,1028,Turkey
107,Ho,1029,UK
108,Ho,1030,USA
109,Ho,1031,Vietnam
110,Pg,1012,Bangladesh
111,Pg,1013,Brazil
112,Pg,1014,China
113,Pg,1016,France
114,Pg,1017,Germany
115,Pg,1018,India
116,Pg,1019,Indonesia
117,Pg,1021,Italy
118,Pg,1022,Mexico
119,Pg,1023,Myanmar
120,Pg,1024,Netherlands
121,Pg,1026,SouthAfrica
122,Pg,1027,Spain
123,Pg,1029,UK
124,Pg,1030,USA
125,Pg,1031,Vietnam
126,Sh,1012,Bangladesh
127,Sh,1013,Brazil
128,Sh,1014,China
129,Sh,1015,Ethiopia
130,Sh,1016,France
131,Sh,1017,Germany
132,Sh,1018,India
133,Sh,1019,Indonesia
134,Sh,1020,Iran
135,Sh,1021,Italy
136,Sh,1022,Mexico
137,Sh,1023,Myanmar
138,Sh,1024,Netherlands
139,Sh,1025,Pakistan
140,Sh,1026,SouthAfrica
141,Sh,1027,Spain
142,Sh,1028,Turkey
143,Sh,1029,UK
144,Sh,1030,USA
145,Bf,1032,Other
146,Ch,1032,Other
147,Ct,1032,Other
148,Dk,1032,Other
149,Gt,1032,Other
150,Ho,1032,Other
151,Pg,1032,Other
152,Sh,1032,Other
